# Name	Time [MJD]	Ra [rad]	Dec [rad]	z	dL [Mpc]	Type	GM2.0_pre_p	GM2.0_post_p	GM2.5_pre_p	GM2.5_post_p	GM3.0_pre_p	GM3.0_post_p	LLGRB_PE_pre_p	LLGRB_PE_post_p	ULGRB_CS_pre_p	ULGRB_CS_post_p	LPGRB_nu_Attn_pre_p	LPGRB_nu_Attn_post_p
SN2013fu	56534.5	6.2591870299646635	0.5136416722156713	0.4791	2781.637	Ib/c	0.065	1.0	0.078	1.0	0.094	1.0	0.054	1.0	0.063	1.0	0.074	1.0
SN2013ho	56596.5	2.1248656422509296	0.805234799973726	0.03378	154.08	Ib/c	0.906	1.0	0.924	1.0	0.941	1.0	0.878	1.0	0.92	1.0	0.927	1.0
iPTF13edf	56623.5	2.02530915283509	0.703796748661497	0.0267	120.6	IIb/Ib	0.596	1.0	0.575	1.0	0.553	1.0	0.618	1.0	0.591	1.0	0.576	1.0
SN2013ge	56624.5	2.769837522915	0.378066919989157	0.00436	19.342	Ic	0.557	1.0	0.553	1.0	0.546	1.0	0.564	1.0	0.551	1.0	0.551	1.0
SN2013hd	56627.5	1.02254477551218	0.30691033119903	0.03368	152.86	Ib	0.932	1.0	0.929	1.0	0.921	1.0	0.942	1.0	0.93	1.0	0.926	1.0
SN2014ft	56657.5	6.16741180013063	0.5872360981198901	0.063	293.392	Ic	0.762	1.0	0.762	1.0	0.754	1.0	0.746	1.0	0.764	1.0	0.762	1.0
SN2013ff	56682.5	2.41575385091665	1.33464746123589	0.00492	21.87	Ic	0.845	1.0	0.85	1.0	0.862	1.0	0.854	1.0	0.855	1.0	0.853	1.0
SN2014C	56707.5	5.92146581970376	0.600547918250323	0.00272	12.072	Ib	0.536	1.0	0.582	1.0	0.608	1.0	0.47	1.0	0.548	1.0	0.578	1.0
CSS140222:141104+253050	56709.5	3.7134788718266	0.445300881285428	0.031	140.0	Ib	0.451	1.0	0.421	1.0	0.392	1.0	0.478	1.0	0.45	1.0	0.428	1.0
PTF14va	56711.5	3.23744031834515	0.0409240924498182	0.006	27.0	Ib/c	0.742	1.0	0.797	1.0	0.839	1.0	0.666	1.0	0.745	1.0	0.79	1.0
PS1-14qg	56715.5	2.38899213571941	-0.173993327572358	0.06	280.0	Ib	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SN2014L	56723.5	3.22369585048569	0.251538306238466	0.00803	35.752	Ic	0.142	1.0	0.137	1.0	0.127	1.0	0.152	1.0	0.144	1.0	0.138	1.0
SN2014av	56765.5	2.35764893123567	0.916142716919068	0.03015	136.508	Ibn	0.669	1.0	0.626	1.0	0.58	1.0	0.715	1.0	0.681	1.0	0.64	1.0
LSQ14bef	56768.5	3.7860554798886987	-0.15031890589641717	0.05	230.734	Ic-BL	0.516	1.0	0.507	1.0	0.495	1.0	0.524	1.0	0.497	1.0	0.495	1.0
SN2014as	56770.5	3.66911842000508	0.715292165854285	0.01247	55.709	Ic BL	0.676	1.0	0.682	1.0	0.69	1.0	0.667	1.0	0.663	1.0	0.673	1.0
CSS140421:142042+031602	56776.5	3.755512217978798	0.05702136110369808	0.07	327.575	Ibn	0.951	1.0	0.962	1.0	0.972	1.0	0.94	1.0	0.945	1.0	0.956	1.0
CSS140505:143511+134946	56782.5	3.81870768131143	0.241369339277194	unk	unk	Ic-lum?	0.08	1.0	0.08	1.0	0.074	1.0	0.083	1.0	0.077	1.0	0.079	1.0
SN2014bk	56801.5	3.63915693451251	0.34918366012337554	0.0697	326.104	Ibn	0.764	1.0	0.745	1.0	0.715	1.0	0.756	1.0	0.774	1.0	0.756	1.0
SN2014bl	56813.5	3.51531127967308	0.453077292730425	0.0377	171.6	Ic	0.963	1.0	0.966	1.0	0.97	1.0	0.954	1.0	0.961	1.0	0.967	1.0
LSQ14cnl	56825.5	4.14690230273853	0.00997649592987203	0.0549	253.0	Ib	0.615	1.0	0.65	1.0	0.698	1.0	0.584	1.0	0.623	1.0	0.648	1.0
ASASSN-14de	56830.5	2.79536296322542	0.68180656971373	0.02928	132.485	Ic	0.525	1.0	0.478	1.0	0.44	1.0	0.568	1.0	0.527	1.0	0.493	1.0
SN2014dj	56923.5	0.251618300495849	0.76433349376692	0.018	80.8	Ic	0.965	1.0	0.961	1.0	0.958	1.0	0.968	1.0	0.963	1.0	0.963	1.0
CSS140925:005854+181322	56924.5	0.256999732356165	0.31804844070884	0.46	2640.0	SLSN-I	0.8	1.0	0.811	1.0	0.819	1.0	0.791	1.0	0.803	1.0	0.809	1.0
CSS141005:022316-070520	56934.5	0.625118760422636	-0.123724451419154	0.045	206.0	Ic	0.381	1.0	0.433	1.0	0.492	1.0	0.356	1.0	0.397	1.0	0.427	1.0
LSQ14fxj	56941.5	0.69471376434591	0.058030258374087	0.36	1980.0	SLSN-I	0.215	1.0	0.228	1.0	0.236	1.0	0.204	1.0	0.231	1.0	0.229	1.0
CSS141028:081814+044553	56957.5	2.17395302746327	0.0831581514659943	0.009	40.0	Ib	0.151	1.0	0.129	1.0	0.112	1.0	0.174	1.0	0.15	1.0	0.132	1.0
MASTER OT J120451.50+265946.6	56963.5	3.16275477077022	0.4711739330052	0.00189	8.377	Ib	0.985	1.0	0.985	1.0	0.983	1.0	0.985	1.0	0.986	1.0	0.985	1.0
SN2014ei	56982.5	1.32325046122037	-0.0512515934848135	0.01444	64.611	Ib	0.015	0.978	0.019	0.991	0.024	0.998	0.011	0.935	0.016	0.98	0.019	0.99
PSN J22081243+4110503	57002.5	5.79536578124717	0.71873773668593	0.018	80.8	Ic	0.802	1.0	0.805	1.0	0.811	1.0	0.786	1.0	0.798	1.0	0.805	1.0
LSQ14gqk	57008.5	1.1902418278079663	-0.12753557176635563	0.04	183.274	Ib/c	0.443	1.0	0.494	1.0	0.551	1.0	0.424	1.0	0.543	1.0	0.537	1.0
SN2014ef	57012.5	0.247254977365863	-0.17280117073051	0.02	90.0	Ib	0.402	1.0	0.368	1.0	0.337	1.0	0.437	1.0	0.387	1.0	0.368	1.0
LSQ15cj	57014.5	3.0165834459157	-0.0705995378705329	0.054	249.0	Ic	0.14	1.0	0.144	1.0	0.154	1.0	0.173	1.0	0.239	1.0	0.217	1.0
ASASSN-14ms	57022.5	3.42149983237838	0.91303263715475	0.065	302.0	Ib	0.922	1.0	0.922	1.0	0.923	1.0	0.914	1.0	0.924	1.0	0.924	1.0
Gaia15aam	57029.5	4.267693631386968	0.2513977102709443	0.05	230.734	Ib/c	0.014	0.969	0.017	0.987	0.023	0.997	0.012	0.952	0.015	0.978	0.017	0.987
LSQ15hj	57045.5	2.6686084262993295	-0.08165862275032248	0.065	303.127	Ic	0.146	1.0	0.17	1.0	0.2	1.0	0.121	1.0	0.146	1.0	0.167	1.0
PSN J05521661+4650211	57050.5	1.53712601664184	0.817498162037392	0.0224	100.8	Ic?	0.253	1.0	0.229	1.0	0.215	1.0	0.283	1.0	0.255	1.0	0.235	1.0
SN2015U	57071.5	1.95869575305064	0.590263565632947	0.01379	61.98	Ibn	0.684	1.0	0.695	1.0	0.701	1.0	0.664	1.0	0.684	1.0	0.69	1.0
ASASSN-15ed	57081.5	4.40004776632987	0.889975868108543	0.04866	223.26	Ibn	0.948	1.0	0.946	1.0	0.943	1.0	0.94	1.0	0.947	1.0	0.947	1.0
SN2015bn	57100.5	3.02683725527117	0.0126643029779433	0.1136	544.83	Ic	0.094	1.0	0.088	1.0	0.089	1.0	0.101	1.0	0.085	1.0	0.086	1.0
SN2015G	57103.5	5.399321485148791	1.154009277350245	0.00475	21.204	Ibn	0.632	1.0	0.592	1.0	0.559	1.0	0.687	1.0	0.639	1.0	0.604	1.0
CSS150325:140426+514417	57105.5	3.68453549506436	0.902999418024188	0.046	211.0	Ic	0.889	1.0	0.896	1.0	0.899	1.0	0.87	1.0	0.888	1.0	0.897	1.0
SN2015Y	57129.5	2.36768457443464	0.452642414858469	0.008	36.0	Ib	0.037	1.0	0.038	1.0	0.04	1.0	0.035	1.0	0.04	1.0	0.038	1.0
PS15ajp	57152.5	4.008803125674476	0.10674433705197318	unk	unk	Ib/c	0.735	1.0	0.777	1.0	0.811	1.0	0.683	1.0	0.735	1.0	0.771	1.0
SN2015K	57165.5	6.17788377564259	0.41215029139852	0.01018	45.422	Ic	0.624	1.0	0.62	1.0	0.62	1.0	0.624	1.0	0.628	1.0	0.624	1.0
SN2015Q	57192.5	3.0874147247258	0.976873872310616	0.008	36.0	Ib	0.717	1.0	0.739	1.0	0.748	1.0	0.651	1.0	0.712	1.0	0.735	1.0
PS15ays	57199.5	4.52825674429929	0.454861891890589	0.04	180.0	Ib	0.289	1.0	0.292	1.0	0.294	1.0	0.281	1.0	0.298	1.0	0.294	1.0
PS15bap	57203.5	4.84968821487491	0.846023144592834	0.05	230.0	Ic	0.126	1.0	0.123	1.0	0.121	1.0	0.132	1.0	0.126	1.0	0.124	1.0
PSN J02513304+3730434	57214.5	0.748528082949068	0.6547088786354751	0.02	90.308	Ib/c	0.245	1.0	0.249	1.0	0.255	1.0	0.23	1.0	0.237	1.0	0.247	1.0
ASASSN-15mj	57218.5	3.67508162828273	0.587498624728211	0.03437	156.08	Ib	0.155	1.0	0.167	1.0	0.181	1.0	0.146	1.0	0.154	1.0	0.164	1.0
PS15axw	57228.5	4.6792277245968	0.734044759039602	0.04	180.0	Ic	0.181	1.0	0.196	1.0	0.2	1.0	0.163	1.0	0.175	1.0	0.189	1.0
PS15bgt	57231.5	4.57923490286796	1.32140332109534	0.0044	19.5	Ib	0.569	1.0	0.527	1.0	0.494	1.0	0.646	1.0	0.583	1.0	0.541	1.0
SN2015ag	57239.5	0.184859456607066	0.517400432685313	0.0162	72.58	Ic	0.687	1.0	0.687	1.0	0.673	1.0	0.682	1.0	0.696	1.0	0.69	1.0
SN2015ah	57239.5	6.0232039706846	0.0283945676752233	0.016	71.7	Ib Pec	0.368	1.0	0.339	1.0	0.333	1.0	0.405	1.0	0.343	1.0	0.338	1.0
ASASSN-15no	57243.5	4.09461514723086	0.818591416888294	0.043	196.0	Ic	0.615	1.0	0.609	1.0	0.611	1.0	0.613	1.0	0.607	1.0	0.607	1.0
PS15bvb	57264.5	0.94815011614592	-0.0878976900125211	0.022	99.0	Ib/IIb	0.918	1.0	0.94	1.0	0.938	1.0	0.836	1.0	0.939	1.0	0.937	1.0
DES15X3hm	57272.5	0.6410448898470841	-0.08832335642453526	0.86	5651.692	SLSN-I	0.855	1.0	0.846	1.0	0.845	1.0	0.877	1.0	0.846	1.0	0.845	1.0
SN2015ap	57282.5	0.546360777926392	0.106505808720867	0.01138	50.802	Ib/c-BL	0.405	1.0	0.422	1.0	0.42	1.0	0.385	1.0	0.408	1.0	0.416	1.0
ASASSN-15re	57307.5	5.4460090426396395	0.28594941169625876	0.03	136.462	Ic-pec	0.325	1.0	0.303	1.0	0.281	1.0	0.343	1.0	0.321	1.0	0.306	1.0
DES15S2nr	57307.5	0.7014041931452211	-0.01554506587109616	0.22	1129.901	SLSN-I	0.178	1.0	0.184	1.0	0.183	1.0	0.165	1.0	0.181	1.0	0.185	1.0
PS15cvn	57341.5	0.0408697933175339	-0.00119506572393501	0.065	302.0	Ic	0.006	0.789	0.007	0.829	0.008	0.845	0.005	0.718	0.007	0.813	0.007	0.824
SN2015bb	57344.5	3.89048434679969	0.708561982333122	0.01634	73.24	Ib/c	0.883	1.0	0.911	1.0	0.931	1.0	0.848	1.0	0.882	1.0	0.907	1.0
PS15cyo	57352.5	2.528109421513786	0.11179027784496125	0.031	141.114	Ic	0.625	1.0	0.62	1.0	0.605	1.0	0.621	1.0	0.618	1.0	0.617	1.0
PTF15dtg	57365.5	0.655952910541202	0.649876740675856	0.0524	241.1	Ic	0.838	1.0	0.82	1.0	0.8	1.0	0.862	1.0	0.84	1.0	0.824	1.0
SN2016Q	57394.5	2.13948277473638	0.339409331498526	0.103	490.6	Ibn	0.342	1.0	0.325	1.0	0.308	1.0	0.36	1.0	0.347	1.0	0.328	1.0
SN2016P	57406.5	3.65435584341529	0.106424360022441	0.01462	65.412	Ic	0.831	1.0	0.837	1.0	0.84	1.0	0.813	1.0	0.833	1.0	0.836	1.0
DES15X1noe	57414.5	0.5877396256090904	-0.08520358038659541	1.188	8409.971	SLSN-I	0.493	1.0	0.479	1.0	0.47	1.0	0.508	1.0	0.476	1.0	0.476	1.0
SN2016G	57414.5	0.8027060118130585	0.7574898638443779	0.009	40.306	Ic-BL	0.241	1.0	0.238	1.0	0.229	1.0	0.237	1.0	0.243	1.0	0.242	1.0
DES15S1nog	57428.5	0.7515824091400581	-0.01297506854753451	0.565	3389.448	SLSN-I?	0.033	1.0	0.031	1.0	0.03	0.999	0.033	1.0	0.031	1.0	0.031	1.0
SN2016dqt	57431.5	4.845470335849257	1.2936705240948312	unk	unk	Ibn	0.359	1.0	0.331	1.0	0.321	1.0	0.432	1.0	0.366	1.0	0.339	1.0
SN2016ajo	57438.5	4.90524786273006	0.42164100401992	0.016	71.7	Ib	0.314	1.0	0.294	1.0	0.279	1.0	0.331	1.0	0.314	1.0	0.298	1.0
SN2016aws	57461.5	2.70344228928705	-0.017611341779985	0.043	196.0	Ib	0.525	1.0	0.575	1.0	0.599	1.0	0.451	1.0	0.528	1.0	0.566	1.0
SN2016bau	57474.5	2.97135032946818	0.928057497946016	0.00386	17.116	Ib	0.811	1.0	0.813	1.0	0.805	1.0	0.795	1.0	0.813	1.0	0.814	1.0
SN2016bke	57474.5	3.36943084302722	0.840432273222278	0.09	420.0	Ib	0.869	1.0	0.88	1.0	0.885	1.0	0.848	1.0	0.866	1.0	0.877	1.0
SN2016bll	57478.5	2.23969376262172	0.337647518581374	0.01914	85.944	Ib	0.218	1.0	0.217	1.0	0.215	1.0	0.216	1.0	0.221	1.0	0.22	1.0
SN2016bkj	57489.5	4.1872630416909	0.333090851755362	0.03168	143.58	Ib	0.303	1.0	0.286	1.0	0.276	1.0	0.326	1.0	0.301	1.0	0.286	1.0
SN2016bir	57492.5	3.46491489752174	0.592004531561811	0.032	145.0	Ib	0.293	1.0	0.277	1.0	0.255	1.0	0.305	1.0	0.3	1.0	0.281	1.0
SN2016dyn	57514.5	5.92430197973825	0.415164862867659	0.00532	23.64	Ic	0.871	1.0	0.877	1.0	0.873	1.0	0.857	1.0	0.875	1.0	0.877	1.0
SN2016dzl	57516.5	6.05432900901183	0.267727204678076	unk	unk	Ib	0.777	1.0	0.777	1.0	0.78	1.0	0.77	1.0	0.779	1.0	0.779	1.0
SN2016eay	57523.5	3.154100846562419	0.7724410329561148	0.102	487.714	SLSN-Ic	0.335	1.0	0.359	1.0	0.38	1.0	0.305	1.0	0.33	1.0	0.353	1.0
SN2016cce	57530.5	3.54934520008697	0.095691554750038	0.022	99.0	Ic	0.163	1.0	0.197	1.0	0.233	1.0	0.134	1.0	0.162	1.0	0.188	1.0
SN2016ecg	57534.5	3.85928658642029	0.377779328513523	0.03271	148.36	Ic	0.242	1.0	0.257	1.0	0.279	1.0	0.23	1.0	0.232	1.0	0.248	1.0
SN2016coi	57549.5	5.75551409665997	0.317410813755445	0.00365	16.181	Ic BL	0.279	1.0	0.272	1.0	0.27	1.0	0.287	1.0	0.272	1.0	0.274	1.0
SN2016edk	57552.5	4.656683888425204	0.5275224212008864	0.0744	349.219	Ibn	0.633	1.0	0.578	1.0	0.53	1.0	0.691	1.0	0.642	1.0	0.595	1.0
CSS160710:160420+392813	57578.5	4.207697938349662	0.6888846070510891	0.18	903.503	SLSN-I	0.783	1.0	0.787	1.0	0.79	1.0	0.782	1.0	0.779	1.0	0.785	1.0
SN2016ejf	57593.5	1.316414588316723	0.06238776373989953	0.028	127.179	Ibc	0.588	1.0	0.573	1.0	0.553	1.0	0.588	1.0	0.585	1.0	0.577	1.0
SN2016eld	57596.5	4.54309204294124	0.034728028161134	0.039	178.0	Ic	0.795	1.0	0.815	1.0	0.844	1.0	0.791	1.0	0.776	1.0	0.802	1.0
SN2016emb	57597.5	5.33903490390282	1.44549671572582	0.059	273.0	Ic	0.048	1.0	0.039	1.0	0.036	1.0	0.069	1.0	0.05	1.0	0.041	1.0
SN2016ewz	57606.5	5.40041231593129	0.210697116928118	0.05	230.0	Ic	0.891	1.0	0.875	1.0	0.858	1.0	0.907	1.0	0.891	1.0	0.879	1.0
SN2016fhn	57621.5	0.413061256305325	0.967243678793161	0.025	113.0	Ic	0.03	0.999	0.027	0.999	0.023	0.997	0.033	1.0	0.03	0.999	0.028	0.999
SN2016frp	57627.5	0.0940296134511945	-0.103964851736804	0.027	122.0	Ib	0.657	1.0	0.676	1.0	0.687	1.0	0.643	1.0	0.664	1.0	0.672	1.0
SN2016fxu	57627.5	0.497346114766217	-0.0130995687008434	0.016	71.7	Ic	0.777	1.0	0.749	1.0	0.721	1.0	0.802	1.0	0.769	1.0	0.75	1.0
SN2016gkm	57651.5	2.28150894261742	0.43757013928919125	unk	unk	Ib/c	0.873	1.0	0.886	1.0	0.889	1.0	0.849	1.0	0.874	1.0	0.884	1.0
DES16X2bda	57657.5	0.6291184732917893	-0.10528359343079016	0.236	1222.825	Ib/c?	0.502	1.0	0.513	1.0	0.525	1.0	0.491	1.0	0.5	1.0	0.51	1.0
DES16X3bdb	57657.5	0.62482787221397	-0.07290725099261425	0.229	1182.008	Ib/c	0.879	1.0	0.884	1.0	0.883	1.0	0.877	1.0	0.881	1.0	0.884	1.0
SN2016flq	57657.5	0.124863763569761	-0.0270676326300265	0.06	280.0	Ic	0.498	1.0	0.524	1.0	0.519	1.0	0.46	1.0	0.515	1.0	0.52	1.0
SN2016gsk	57657.5	5.41561122483407	-0.0890033076122914	0.021	94.4	Ic	0.62	1.0	0.598	1.0	0.573	1.0	0.642	1.0	0.607	1.0	0.595	1.0
SN2016gox	57670.5	0.05439609502048993	0.5716066746682809	0.04203	192.851	Ic-BL	0.033	1.0	0.031	1.0	0.027	0.999	0.038	1.0	0.034	1.0	0.031	1.0
SN2016gcm	57673.5	5.51924014917123	1.14682336896884	0.02242	100.93	Ic?	0.081	1.0	0.083	1.0	0.088	1.0	0.081	1.0	0.079	1.0	0.082	1.0
SN2016hgp	57680.5	0.0527962098728285	0.561951804134457	0.0811	380.6	Ic	0.102	1.0	0.102	1.0	0.103	1.0	0.11	1.0	0.098	1.0	0.098	1.0
